basin_id,NSE_training,dd,f_thr,su_max,beta,perc,kf,ki,kb,NSE_testing
2001,0.69,3.4835935,47.42883,57.849995,5.835832,0.5751742,1.0348791,2.3891804,62.15268,0.7
4001,0.79,2.308943,28.302473,49.87606,1.1277704,0.5132116,2.8883653,6.326228,36.28779,0.75
6007,0.86,1.861136,23.301588,70.738655,4.290219,0.5443425,5.8395786,5.0995884,92.72492,0.85
7001,0.54,1.1825491,58.59222,29.9658,1.0879658,0.7340146,15.570153,2.1065009,31.592268,0.57
7002,0.57,1.3648156,56.604496,52.865906,4.2061977,0.636649,18.36315,2.2842052,68.4303,0.59
8004,0.6,2.7937753,47.061455,61.691883,5.207554,0.47830257,1.6907116,2.297105,99.22625,0.59
8005,0.67,0.7882211,18.78963,695.46906,5.8015137,0.5267215,8.212357,4.4647455,997.48956,0.72
8006,0.68,0.5770836,18.27873,615.0729,5.3679876,0.66770726,6.7715473,4.989959,998.5745,0.58
9002,0.73,1.8463806,54.08244,152.78902,5.761705,0.6032605,9.984959,3.365537,90.33564,0.59
10003,0.82,5.941753,37.93553,242.6849,5.897887,0.49120435,5.3351626,4.417095,50.983845,0.76
11001,0.79,2.441727,32.40861,295.45242,5.6260223,0.60208356,4.9936366,5.106023,74.63662,0.68
11003,0.74,4.282545,27.258387,363.70398,4.139254,0.41222796,4.5755286,3.8171668,42.886932,0.62
12001,0.65,1.1866635,48.38579,57.037376,2.8833628,0.5623024,7.3027854,2.909255,64.47784,0.62
12002,0.69,1.5395433,58.376793,84.6307,2.792907,0.6081037,14.769434,3.0997455,51.91336,0.64
13007,0.73,1.3832804,24.100204,156.87044,4.185051,0.6962755,2.6167302,4.1317396,31.348549,0.68
13008,0.76,1.6693335,29.530077,212.86479,5.6383305,0.5920337,3.3213658,3.7682164,47.849815,0.72
15006,0.84,1.5982728,18.157505,181.58104,2.7879415,0.6838168,5.4590406,6.3907433,41.377934,0.86
15007,0.89,3.0325549,39.830685,159.25917,4.7943726,0.652577,4.0945935,5.976962,72.48383,0.89
15012,0.83,0.7455471,29.844213,213.12744,1.7612146,0.4552347,2.8016648,4.9935102,19.57034,0.82
15016,0.82,2.9659996,30.46665,59.813614,1.0678982,0.444734,5.5778637,7.0415926,12.304371,0.84
15025,0.71,0.92786735,44.843918,146.67918,3.04833,0.63654035,1.4515436,2.4399064,26.709063,0.73
16001,0.87,2.302768,19.10491,160.20178,4.831057,0.38489637,4.1377363,2.689154,19.473476,0.83
16004,0.86,1.4366146,24.928986,143.17894,5.6420126,0.50224805,3.2990482,3.1772227,17.69703,0.84
18003,0.83,2.1858861,25.426453,637.9195,5.194411,0.9459671,3.3336406,5.3602505,918.9602,0.86
21006,0.82,1.6157544,20.61021,229.68864,5.971026,0.7818664,3.6117659,4.1251493,92.338135,0.81
21009,0.8,2.2569928,44.23054,339.47,5.6060805,0.88399523,2.995033,5.016814,877.3386,0.75
21022,0.77,3.7279105,32.69427,385.84177,5.893538,0.78534734,2.483064,4.1379023,23.327833,0.66
23004,0.74,2.5576842,59.259552,78.92893,5.1585264,0.78397673,7.756877,1.953026,72.26579,0.79
25001,0.73,3.3542411,24.376062,496.82202,5.6788626,0.83058524,2.0428839,2.6709893,216.52226,0.74
27001,0.8,1.3093061,24.71093,373.09323,5.865011,0.83554494,2.5941737,4.5124745,900.13916,0.66
27003,0.84,1.010167,23.830606,298.41367,4.4917555,0.81168526,3.6218925,4.6832156,193.35364,0.8
27007,0.75,1.5973289,27.46776,229.42465,3.5957606,0.8950227,2.4492018,3.7275393,57.69644,0.71
27021,0.8,1.0074046,38.04265,334.35468,4.90322,0.7729938,2.7205381,4.1441584,338.01404,0.73
27034,0.81,2.2496352,29.071264,67.17995,5.8201346,0.8016915,1.8363165,2.6007774,66.435745,0.78
27041,0.87,2.6265543,30.89225,423.71042,5.993118,0.7244348,8.27884,9.087964,990.32666,0.82
27071,0.76,1.1849337,35.452984,301.93018,4.3960276,0.8642596,9.505169,4.964921,196.33684,0.72
27080,0.86,1.1815674,27.963388,195.8644,2.4637039,0.83271396,1.4291726,3.9459376,54.199215,0.79
28015,0.24,1.3350699,59.635406,633.34784,5.9996033,0.364758,17.810768,7.836205,997.2465,0.05
28018,0.77,2.5722015,29.218542,319.09305,5.9935765,0.731722,3.5726943,4.298673,128.89687,0.75
28024,0.77,5.9475446,43.659943,282.8453,5.9969773,0.92189044,9.312466,4.107151,971.8692,0.71
28067,0.8,2.3083575,49.150833,482.5305,5.977897,0.7559877,4.2996874,6.2097907,997.0257,0.71
28080,0.7,8.952873,57.34118,51.003704,1.0044607,0.4903827,16.792055,2.2796655,95.88905,0.67
28085,0.84,5.013186,58.481434,531.3264,5.995245,0.7328193,19.988016,6.33768,998.4366,0.77
33022,0.78,8.401253,45.170036,397.41492,5.9926887,0.50912076,9.496946,5.1787114,538.0946,0.72
33034,0.8,7.3338375,35.624485,523.171,5.9956083,0.5879258,4.3502617,13.583183,997.3932,0.7
33039,0.82,9.959889,42.741745,358.84033,5.9886293,0.86444825,8.039108,7.186591,906.329,0.74
36006,0.68,9.657243,46.69618,317.13046,5.9986577,0.6532685,5.068134,5.9603043,996.9575,0.68
38001,0.58,7.6559615,41.656666,672.85504,5.998342,0.48084,3.5281384,4.308277,999.10736,0.5
39002,0.9,9.967251,40.69758,375.52722,5.9989147,0.8551498,19.868856,11.859786,998.50653,0.85
39008,0.89,5.800148,37.623016,407.57785,5.9986367,0.83852226,9.346636,13.536364,997.5077,0.85
39010,0.46,9.5369835,55.6406,697.2814,5.9999614,0.2855357,3.4726672,18.503078,999.74365,0.07
39016,0.84,9.294413,47.485725,644.8088,5.998936,0.6783046,16.722588,29.476305,994.8275,0.72
39021,0.82,9.849868,47.921406,420.34256,5.998964,0.72035635,7.300956,9.7446785,999.41235,0.73
39034,0.92,7.3786488,57.15947,350.30374,5.995963,0.82663393,5.860984,11.616561,996.97687,0.84
40003,0.75,9.804605,36.37874,382.83615,5.996981,0.8128349,15.000914,3.912096,998.6997,0.5
42004,0.8,0.008510417,43.487427,573.8466,5.94464,0.5083274,3.5201528,44.046875,992.1301,0.68
43007,0.85,4.049282,55.732735,459.17953,5.9699435,0.59767145,12.707507,6.040238,45.11335,0.76
43008,0.73,6.016794,56.17109,698.9484,5.99942,0.70163393,3.486709,28.298365,997.12537,0.47
43009,0.75,1.5459396,35.53549,316.4821,5.955779,0.9042567,13.453461,3.7029388,967.9627,0.71
44001,0.89,1.7668486,59.45563,656.32056,5.99358,0.6433706,9.0205345,21.875082,985.9813,0.88
